generation,system_prompt,objective_score,target_logprob,target_rank,answer
0,"227, 787, 098, 104, 297, 999, 962, 694, 097, 746, 064, 740, 678, 324, 875, 518, 242, 081, 016, 054, 951, 813, 122, 625, 214, 473, 853, 145, 125, 218",-8.65625,-8.6484375,49,
1,"227, 787, 098, 725, 012, 999, 962, 591, 097, 675, 064, 784, 214, 920, 530, 915, 242, 081, 016, 154, 600, 072, 415, 625, 030, 314, 853, 279, 125, 305",-8.4375,,,
2,"196, 000, 333, 836, 597, 992, 861, 542, 980, 004, 080, 062, 229, 714, 622, 347, 214, 847, 039, 637, 832, 497, 998, 511, 135, 887, 672, 497, 637, 069",-8.21875,,,
3,"110, 000, 098, 895, 279, 999, 962, 728, 197, 675, 064, 784, 214, 496, 542, 915, 242, 976, 006, 298, 325, 769, 367, 625, 268, 221, 853, 279, 125, 505",-7.78125,,,
4,"401, 297, 098, 000, 139, 735, 962, 760, 842, 498, 086, 904, 636, 169, 530, 258, 242, 448, 384, 245, 010, 768, 122, 625, 222, 203, 853, 714, 900, 305",-7.625,,,
5,"236, 000, 666, 155, 012, 999, 042, 148, 142, 675, 035, 805, 911, 496, 542, 418, 242, 375, 016, 905, 524, 716, 367, 625, 418, 886, 046, 279, 125, 305",-7.375,,,
6,"110, 000, 333, 836, 068, 999, 484, 542, 330, 004, 064, 784, 240, 714, 356, 915, 242, 081, 006, 285, 600, 449, 462, 026, 156, 887, 495, 279, 005, 305",-7.265625,,,
7,"278, 000, 666, 155, 068, 225, 720, 542, 142, 004, 374, 828, 911, 496, 200, 138, 242, 442, 122, 905, 010, 639, 056, 996, 122, 400, 196, 279, 304, 305",-7.078125,,,
8,"236, 000, 666, 000, 297, 786, 222, 054, 142, 675, 035, 876, 261, 290, 484, 807, 242, 045, 016, 154, 484, 296, 697, 325, 867, 833, 046, 279, 304, 305",-6.96875,,,
9,"236, 000, 666, 155, 279, 786, 946, 390, 015, 498, 436, 294, 911, 300, 530, 418, 242, 878, 016, 905, 010, 296, 367, 026, 222, 226, 433, 279, 304, 305",-6.953125,,,
10,"145, 000, 666, 000, 926, 131, 854, 187, 015, 467, 098, 858, 896, 273, 225, 635, 242, 432, 016, 678, 850, 536, 884, 026, 867, 985, 206, 120, 304, 305",-6.8046875,,,
11,"236, 000, 666, 000, 297, 786, 222, 542, 015, 004, 599, 876, 127, 290, 542, 138, 242, 045, 649, 154, 908, 716, 876, 084, 796, 400, 196, 007, 304, 305",-6.6875,,,
12,"145, 000, 666, 000, 440, 786, 222, 000, 486, 734, 064, 492, 233, 599, 622, 050, 323, 852, 649, 200, 716, 769, 788, 688, 045, 901, 197, 145, 727, 305",-6.625,,,
