generation,system_prompt,objective_score,target_logprob,target_rank,answer
0,"120, 200, 664, 180, 010, 126, 266, 086, 511, 624, 616, 153, 031, 789, 618, 563, 085, 003, 698, 169, 339, 758, 672, 499, 276, 205, 528, 083, 896, 266",-8.7109375,-8.734375,54,
1,"120, 200, 664, 180, 010, 126, 266, 086, 511, 988, 616, 449, 031, 789, 960, 055, 085, 958, 698, 994, 339, 375, 069, 152, 276, 205, 220, 083, 247, 965",-8.6171875,,,
2,"876, 901, 031, 200, 778, 318, 850, 058, 352, 050, 256, 696, 045, 429, 128, 525, 653, 850, 143, 161, 218, 140, 601, 124, 005, 250, 575, 048, 936, 113",-8.2109375,,,
3,"122, 870, 096, 000, 571, 317, 326, 854, 496, 035, 035, 101, 758, 055, 826, 930, 798, 853, 549, 283, 683, 634, 026, 717, 280, 304, 194, 576, 295, 235",-8.0859375,,,
4,"876, 901, 096, 000, 778, 317, 850, 058, 496, 035, 274, 101, 758, 055, 826, 930, 653, 918, 549, 169, 683, 634, 026, 124, 005, 304, 194, 576, 896, 113",-7.953125,,,
5,"236, 870, 769, 000, 000, 158, 737, 145, 196, 014, 007, 126, 045, 167, 514, 525, 557, 449, 045, 141, 218, 467, 355, 934, 175, 403, 997, 083, 335, 113",-7.625,,,
6,"135, 135, 286, 000, 000, 126, 811, 854, 511, 726, 868, 785, 018, 966, 960, 055, 085, 853, 203, 481, 825, 237, 244, 885, 362, 205, 220, 170, 092, 523",-7.3203125,,,
7,"135, 135, 286, 000, 000, 126, 811, 854, 511, 726, 868, 785, 018, 966, 960, 055, 085, 853, 203, 481, 825, 237, 244, 885, 362, 205, 220, 170, 092, 523",-7.3203125,,,
8,"876, 870, 148, 000, 098, 947, 850, 709, 363, 050, 007, 449, 824, 055, 224, 525, 653, 294, 748, 423, 218, 410, 886, 242, 280, 125, 900, 683, 092, 010",-7.21875,,,
9,"236, 870, 286, 756, 000, 934, 326, 000, 231, 736, 007, 456, 045, 667, 099, 525, 798, 853, 050, 281, 577, 376, 725, 069, 065, 244, 308, 959, 194, 113",-7.1015625,,,
10,"236, 870, 286, 756, 000, 934, 326, 000, 231, 736, 007, 456, 045, 667, 099, 525, 798, 853, 050, 281, 577, 376, 725, 069, 065, 244, 308, 959, 194, 113",-7.1015625,,,
11,"135, 135, 690, 000, 000, 126, 642, 000, 496, 726, 221, 785, 018, 050, 960, 930, 781, 853, 203, 744, 088, 845, 073, 095, 646, 939, 287, 083, 265, 113",-7.0,,,
12,"135, 870, 286, 000, 000, 158, 737, 000, 434, 748, 007, 003, 824, 050, 514, 952, 653, 853, 887, 805, 088, 277, 725, 035, 996, 205, 938, 083, 335, 201",-6.921875,,,
13,"135, 135, 286, 000, 000, 546, 737, 000, 231, 865, 221, 366, 230, 055, 826, 525, 255, 883, 199, 281, 218, 264, 001, 608, 860, 680, 076, 075, 092, 201",-6.8125,,,
