rank,system_prompt,objective_score
1,"145, 000, 538, 000, 667, 120, 428, 867, 036, 300, 000, 953, 142, 370, 225, 897, 235, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.765625
2,"145, 000, 538, 000, 667, 120, 428, 867, 036, 300, 000, 953, 120, 370, 225, 897, 235, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.7734375
3,"145, 000, 538, 000, 667, 120, 428, 867, 036, 300, 000, 953, 108, 370, 225, 897, 105, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.7734375
4,"145, 000, 538, 000, 667, 120, 428, 867, 036, 300, 000, 953, 128, 370, 225, 897, 380, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.7734375
5,"145, 000, 538, 000, 667, 120, 428, 867, 036, 370, 000, 953, 142, 370, 225, 897, 235, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.7734375
6,"145, 000, 538, 000, 667, 120, 428, 867, 036, 300, 000, 953, 980, 370, 225, 897, 105, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.7734375
7,"145, 000, 538, 000, 667, 120, 428, 867, 036, 300, 000, 953, 428, 370, 225, 897, 235, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.78125
8,"145, 000, 538, 000, 667, 120, 428, 867, 036, 370, 000, 953, 899, 370, 225, 897, 105, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.78125
9,"145, 000, 538, 000, 667, 120, 428, 867, 036, 300, 000, 953, 786, 370, 225, 897, 235, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.78125
10,"145, 000, 538, 000, 667, 120, 428, 867, 036, 300, 000, 953, 899, 370, 225, 897, 105, 098, 016, 019, 099, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.78125
11,"145, 000, 538, 000, 667, 120, 428, 867, 036, 300, 000, 953, 102, 370, 225, 897, 235, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.78125
12,"145, 000, 538, 000, 667, 120, 428, 867, 036, 300, 000, 953, 428, 370, 225, 897, 125, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.78125
13,"145, 000, 538, 000, 667, 120, 428, 867, 036, 370, 000, 953, 993, 370, 225, 897, 235, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.78125
14,"145, 000, 538, 000, 667, 120, 428, 867, 036, 350, 000, 953, 128, 370, 225, 897, 235, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.7890625
15,"145, 000, 538, 000, 667, 120, 428, 867, 036, 300, 000, 953, 212, 370, 225, 897, 235, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.7890625
16,"145, 000, 538, 000, 667, 120, 428, 867, 036, 350, 000, 953, 142, 370, 225, 897, 235, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.7890625
17,"145, 000, 538, 000, 667, 120, 428, 867, 036, 300, 000, 953, 135, 370, 225, 897, 105, 098, 016, 019, 075, 007, 003, 002, 010, 001, 197, 145, 145, 090",-4.7890625
