step,system_prompt,objective_score,target_logprob,target_rank,answer
0,"500, 942, 236, 000, 228, 867, 427, 000, 953, 807, 996, 769, 354, 996, 092, 098, 016, 725, 075, 304",-6.25,-6.25,22,Dog
1,"500, 942, 236, 000, 228, 867, 427, 000, 953, 130, 996, 229, 354, 996, 953, 098, 016, 725, 075, 304",-6.3125,-6.3125,22,Dog
2,"500, 942, 236, 000, 228, 867, 427, 000, 953, 167, 996, 229, 354, 996, 953, 098, 016, 725, 075, 304",-6.1875,-6.25,22,Dog
3,"500, 942, 236, 000, 228, 867, 427, 000, 953, 167, 996, 229, 354, 996, 953, 098, 016, 725, 075, 304",-6.1875,-6.25,22,Dog
4,"500, 942, 236, 000, 228, 867, 427, 000, 953, 167, 996, 229, 354, 996, 953, 098, 016, 725, 075, 304",-6.1875,-6.25,22,Dog
5,"500, 942, 236, 000, 228, 867, 427, 000, 953, 167, 996, 279, 354, 996, 953, 098, 016, 725, 075, 304",-6.25,-6.25,22,Dog
6,"500, 942, 236, 000, 350, 867, 427, 000, 953, 167, 996, 279, 354, 996, 953, 098, 016, 725, 075, 304",-6.1875,-6.21875,22,Dog
7,"500, 958, 236, 000, 350, 867, 427, 000, 953, 167, 996, 279, 354, 996, 953, 098, 016, 725, 075, 304",-6.125,-6.125,22,Dog
8,"500, 958, 236, 000, 350, 867, 427, 000, 953, 167, 486, 279, 354, 996, 953, 098, 016, 725, 075, 304",-6.0,-6.09375,22,Dog
9,"500, 958, 236, 000, 350, 867, 427, 000, 953, 167, 486, 279, 354, 996, 953, 098, 016, 725, 075, 304",-6.0,-6.09375,22,Dog
10,"500, 958, 236, 000, 350, 867, 427, 000, 953, 167, 486, 279, 354, 996, 953, 098, 016, 725, 075, 304",-6.0,-6.09375,22,Dog
11,"500, 958, 236, 000, 350, 867, 427, 000, 953, 167, 486, 279, 354, 996, 953, 098, 016, 725, 075, 304",-6.0,-6.09375,22,Dog
12,"500, 958, 236, 000, 350, 867, 427, 000, 953, 167, 486, 279, 354, 996, 953, 098, 016, 725, 075, 304",-6.0,-6.09375,22,Dog
13,"500, 958, 236, 000, 350, 867, 427, 000, 953, 167, 486, 279, 354, 996, 953, 098, 016, 725, 075, 304",-6.0,-6.09375,22,Dog
14,"500, 958, 236, 000, 350, 867, 427, 000, 953, 167, 918, 279, 354, 367, 953, 098, 016, 725, 075, 304",-6.1875,-6.1875,23,Dog
15,"500, 958, 236, 000, 350, 867, 427, 000, 953, 167, 918, 279, 354, 367, 135, 098, 016, 725, 075, 304",-6.125,-6.25,23,Dog
16,"500, 958, 236, 000, 178, 867, 427, 000, 953, 167, 918, 279, 007, 196, 135, 098, 016, 725, 075, 304",-6.125,-6.15625,22,Dog
17,"500, 958, 236, 000, 222, 867, 427, 000, 953, 167, 525, 279, 007, 196, 135, 098, 016, 725, 075, 304",-6.1875,-6.28125,23,Dog
18,"236, 958, 236, 000, 222, 867, 427, 000, 953, 381, 193, 279, 007, 196, 135, 098, 016, 199, 075, 304",-6.1875,-6.25,23,Dog
19,"236, 958, 236, 000, 222, 867, 427, 000, 953, 724, 193, 279, 007, 170, 135, 098, 016, 199, 075, 304",-6.125,-6.125,22,Dog
20,"236, 958, 236, 000, 222, 867, 427, 000, 953, 724, 769, 279, 007, 170, 135, 098, 917, 199, 075, 304",-6.0625,-6.0625,21,Dog
21,"236, 958, 236, 000, 222, 867, 427, 000, 953, 423, 769, 279, 007, 170, 135, 098, 917, 199, 075, 304",-6.0,-6.09375,23,Dog
22,"236, 958, 236, 000, 211, 867, 427, 000, 953, 443, 769, 279, 007, 170, 375, 098, 917, 199, 075, 304",-6.0625,-6.0625,21,Dog
23,"236, 958, 236, 000, 252, 867, 427, 000, 953, 416, 769, 277, 007, 170, 375, 098, 917, 199, 075, 304",-6.1875,-6.21875,23,Dog
24,"236, 958, 192, 000, 252, 867, 427, 000, 953, 416, 769, 277, 007, 170, 375, 098, 917, 199, 075, 304",-6.125,-6.15625,23,Dog
25,"236, 958, 192, 000, 148, 867, 427, 000, 953, 416, 769, 784, 007, 170, 133, 098, 917, 199, 075, 304",-5.9375,-6.03125,22,Dog
26,"236, 958, 192, 000, 112, 867, 428, 000, 953, 416, 769, 204, 007, 170, 133, 098, 917, 199, 075, 304",-6.0,-6.03125,24,Dog
27,"236, 958, 192, 000, 112, 867, 428, 000, 953, 221, 769, 204, 007, 370, 133, 098, 917, 199, 075, 304",-5.8125,-5.84375,24,Dog
28,"236, 958, 192, 000, 112, 867, 428, 000, 953, 221, 769, 047, 007, 370, 133, 098, 917, 199, 075, 304",-5.9375,-5.9375,24,Dog
29,"236, 958, 192, 000, 112, 867, 428, 000, 953, 221, 769, 047, 007, 370, 133, 098, 917, 360, 075, 304",-5.875,-5.875,24,Dog
30,"236, 958, 192, 000, 112, 867, 428, 000, 953, 767, 769, 047, 007, 370, 133, 098, 917, 196, 075, 304",-5.75,-5.84375,24,Dog
