rank,system_prompt,objective_score
1,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.5703125
2,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 580, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.578125
3,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.578125
4,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 529, 000, 723, 428, 329, 232, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.578125
5,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 401, 010, 998, 500, 300, 256, 370, 197, 132, 876, 876, 221",-4.5859375
6,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 529, 000, 723, 428, 329, 232, 325, 993, 899, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.5859375
7,"876, 876, 140, 033, 221, 221, 943, 007, 370, 228, 953, 000, 723, 428, 329, 232, 325, 993, 401, 010, 998, 500, 300, 256, 370, 197, 132, 876, 876, 221",-4.59375
8,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 753, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.59375
9,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 570, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.59375
10,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 570, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6015625
11,"876, 876, 140, 033, 221, 221, 580, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6015625
12,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 580, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6015625
13,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 429, 232, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6015625
14,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 938, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6015625
15,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 222, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6015625
16,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 075, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6015625
17,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 959, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6015625
18,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 400, 010, 998, 500, 300, 256, 370, 197, 132, 876, 876, 221",-4.6015625
19,"876, 876, 140, 033, 221, 221, 860, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 401, 580, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6015625
20,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 425, 232, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6015625
21,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 230, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6015625
22,"876, 876, 140, 033, 221, 221, 943, 007, 370, 228, 953, 000, 723, 428, 329, 232, 325, 993, 580, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
23,"876, 876, 140, 033, 221, 221, 943, 007, 370, 228, 953, 000, 723, 428, 329, 232, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
24,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 898, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
25,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 870, 232, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
26,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 575, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
27,"876, 876, 126, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 580, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
28,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 401, 383, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
29,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 400, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
30,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 404, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
31,"876, 876, 130, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 753, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
32,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 769, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
33,"876, 876, 103, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
34,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 256, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
35,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 972, 580, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
36,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 900, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
37,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 580, 010, 998, 500, 300, 256, 370, 197, 132, 876, 876, 221",-4.609375
38,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 401, 918, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
39,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 382, 876, 876, 221",-4.609375
40,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 401, 860, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
41,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 383, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
42,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 098, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
43,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 358, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
44,"876, 876, 140, 033, 221, 221, 860, 007, 370, 543, 953, 000, 723, 428, 329, 232, 135, 993, 753, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
45,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 653, 232, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
46,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 653, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
47,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 390, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.609375
48,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 853, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6171875
49,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 766, 232, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6171875
50,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 358, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6171875
51,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 419, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6171875
52,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 401, 443, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6171875
53,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 580, 897, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6171875
54,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 252, 325, 993, 401, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6171875
55,"876, 876, 140, 033, 221, 221, 943, 007, 370, 228, 953, 000, 723, 428, 329, 232, 325, 993, 460, 010, 998, 500, 300, 256, 370, 197, 837, 876, 876, 221",-4.6171875
56,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 518, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6171875
57,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 135, 570, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6171875
58,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 090, 010, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6171875
59,"876, 876, 140, 033, 221, 221, 943, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 580, 010, 899, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6171875
60,"876, 876, 140, 033, 221, 221, 958, 007, 370, 543, 953, 000, 723, 428, 329, 232, 325, 993, 401, 491, 998, 500, 300, 200, 370, 197, 132, 876, 876, 221",-4.6171875
