generation,system_prompt,objective_score,target_logprob,target_rank,answer
0,"876, 002, 060, 133, 182, 954, 414, 737, 981, 978, 472, 665, 388, 271, 339, 031, 255, 807, 797, 069, 372, 245, 094, 740, 536, 544, 810, 804, 525, 450",-8.71875,-8.734375,56,
1,"115, 098, 452, 081, 194, 943, 414, 370, 541, 186, 192, 238, 031, 368, 273, 954, 313, 206, 098, 985, 178, 768, 453, 010, 148, 651, 842, 855, 471, 142",-8.3984375,,,
2,"115, 098, 342, 081, 194, 943, 030, 370, 697, 595, 566, 766, 031, 749, 273, 954, 991, 581, 707, 199, 178, 768, 095, 010, 148, 651, 842, 256, 304, 074",-8.2421875,,,
3,"115, 098, 861, 215, 165, 484, 455, 839, 352, 186, 037, 444, 139, 929, 019, 954, 575, 690, 303, 775, 893, 586, 523, 726, 064, 128, 412, 687, 890, 223",-7.9453125,,,
4,"360, 000, 194, 772, 003, 943, 271, 199, 096, 418, 217, 125, 617, 155, 156, 614, 126, 060, 073, 985, 348, 948, 260, 274, 536, 942, 710, 700, 400, 803",-7.78125,,,
5,"115, 098, 045, 097, 213, 703, 455, 928, 358, 772, 763, 016, 947, 554, 019, 561, 813, 640, 303, 775, 128, 880, 418, 228, 300, 128, 753, 884, 270, 213",-7.515625,,,
6,"115, 098, 291, 215, 003, 231, 414, 919, 291, 474, 192, 139, 388, 368, 934, 954, 126, 206, 098, 985, 081, 251, 418, 010, 162, 544, 936, 486, 325, 213",-7.4375,,,
7,"115, 098, 292, 233, 000, 943, 223, 525, 981, 498, 988, 173, 691, 368, 038, 084, 991, 581, 414, 080, 352, 564, 247, 818, 739, 120, 154, 550, 304, 301",-7.328125,,,
8,"115, 098, 158, 452, 213, 292, 956, 742, 092, 010, 763, 948, 363, 430, 035, 561, 228, 259, 643, 199, 025, 766, 094, 500, 148, 223, 975, 525, 262, 213",-7.2109375,,,
9,"115, 098, 158, 058, 213, 350, 956, 884, 092, 010, 237, 719, 574, 430, 772, 225, 847, 259, 413, 472, 025, 766, 094, 500, 001, 591, 975, 525, 073, 213",-7.0625,,,
10,"115, 098, 291, 215, 003, 231, 414, 890, 358, 000, 217, 139, 109, 430, 155, 084, 126, 610, 033, 291, 352, 251, 418, 818, 001, 695, 975, 486, 325, 213",-7.046875,,,
