rank,system_prompt,objective_score
1,"401, 401, 255, 112, 000, 108, 736, 610, 871, 428, 007, 007, 353, 549, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 232, 385, 098, 908, 305",-3.6875
2,"401, 401, 194, 112, 000, 108, 736, 610, 871, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 232, 229, 007, 007, 870, 122, 385, 098, 782, 305",-3.6953125
3,"401, 401, 194, 112, 000, 108, 736, 610, 867, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 122, 385, 098, 902, 305",-3.7109375
4,"401, 401, 255, 112, 000, 108, 736, 610, 871, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 230, 229, 007, 043, 870, 825, 385, 098, 782, 305",-3.7109375
5,"401, 401, 255, 112, 000, 108, 736, 610, 871, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 232, 229, 007, 007, 870, 122, 385, 098, 782, 223",-3.7109375
6,"401, 401, 255, 112, 000, 108, 736, 610, 871, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 232, 229, 007, 043, 370, 232, 385, 098, 782, 305",-3.71875
7,"401, 401, 255, 112, 000, 108, 736, 610, 871, 428, 007, 007, 353, 934, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 112, 385, 098, 782, 305",-3.71875
8,"401, 401, 255, 112, 000, 153, 736, 610, 871, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 825, 385, 098, 782, 305",-3.7265625
9,"401, 401, 194, 112, 000, 108, 736, 610, 871, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 422, 229, 007, 007, 870, 825, 385, 098, 908, 305",-3.734375
10,"401, 401, 194, 112, 000, 108, 736, 610, 867, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 197, 385, 098, 782, 305",-3.734375
11,"401, 401, 255, 112, 000, 108, 736, 610, 871, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 122, 370, 098, 806, 305",-3.734375
12,"401, 401, 255, 112, 000, 108, 736, 610, 871, 428, 007, 007, 353, 934, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 825, 385, 098, 200, 305",-3.734375
13,"401, 401, 255, 112, 000, 106, 736, 610, 871, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 232, 229, 007, 007, 870, 690, 385, 098, 782, 305",-3.734375
14,"401, 401, 255, 112, 000, 108, 736, 610, 871, 428, 007, 007, 353, 934, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 290, 385, 098, 782, 305",-3.7421875
15,"401, 401, 255, 112, 000, 106, 736, 610, 867, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 232, 229, 007, 007, 870, 475, 385, 098, 782, 305",-3.7421875
16,"401, 401, 194, 112, 000, 108, 736, 610, 867, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 825, 385, 098, 782, 305",-3.75
17,"401, 401, 255, 112, 000, 108, 736, 610, 871, 428, 007, 007, 353, 934, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 825, 385, 098, 104, 305",-3.75
18,"401, 401, 255, 112, 000, 108, 736, 610, 871, 428, 007, 007, 353, 934, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 370, 385, 098, 103, 305",-3.75
19,"401, 401, 194, 112, 000, 108, 736, 610, 867, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 580, 128, 385, 098, 902, 305",-3.75
20,"401, 401, 194, 112, 000, 108, 736, 610, 871, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 220, 385, 098, 782, 305",-3.75
21,"401, 401, 255, 112, 000, 108, 736, 610, 871, 428, 007, 007, 401, 934, 132, 767, 767, 370, 643, 329, 435, 229, 007, 007, 870, 825, 385, 098, 782, 305",-3.7578125
22,"401, 401, 255, 112, 000, 108, 736, 579, 871, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 825, 385, 098, 782, 305",-3.7578125
23,"401, 401, 255, 112, 000, 108, 736, 610, 871, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 435, 174, 007, 007, 870, 122, 385, 098, 782, 305",-3.7578125
24,"401, 401, 255, 112, 000, 108, 736, 610, 871, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 232, 229, 007, 007, 870, 122, 385, 098, 815, 305",-3.7578125
25,"401, 401, 255, 988, 000, 108, 736, 610, 871, 428, 007, 007, 401, 934, 132, 767, 767, 370, 325, 329, 435, 229, 007, 007, 870, 143, 385, 098, 782, 305",-3.7578125
