generation,system_prompt,objective_score,target_logprob,target_rank,answer
0,"401, 098, 831, 073, 324, 874, 519, 539, 979, 539, 126, 643, 555, 846, 356, 933, 224, 296, 064, 491, 794, 667, 173, 942, 274, 539, 981, 966, 050, 510",-8.140625,-8.140625,42,
1,"401, 098, 831, 146, 327, 037, 963, 384, 979, 539, 728, 643, 024, 543, 037, 708, 224, 128, 064, 959, 794, 576, 173, 942, 796, 539, 487, 719, 017, 300",-8.1171875,,,
2,"401, 098, 153, 073, 324, 334, 013, 539, 979, 810, 126, 766, 036, 242, 795, 111, 224, 036, 729, 458, 219, 135, 249, 690, 708, 172, 401, 966, 130, 469",-7.890625,,,
3,"236, 098, 360, 604, 000, 666, 278, 865, 164, 937, 978, 587, 744, 000, 979, 050, 296, 170, 796, 328, 323, 917, 752, 396, 763, 452, 002, 081, 016, 701",-7.4140625,,,
4,"236, 098, 831, 146, 000, 666, 278, 865, 993, 019, 978, 587, 744, 000, 947, 369, 296, 170, 796, 328, 323, 325, 752, 091, 763, 452, 002, 964, 017, 300",-7.3671875,,,
5,"401, 098, 423, 146, 000, 666, 278, 865, 979, 202, 978, 376, 904, 000, 947, 933, 458, 170, 064, 959, 323, 325, 752, 091, 763, 539, 002, 121, 099, 300",-7.328125,,,
6,"401, 098, 153, 073, 000, 334, 519, 874, 133, 232, 043, 884, 392, 543, 433, 182, 296, 170, 064, 149, 460, 574, 173, 853, 017, 005, 133, 483, 050, 300",-7.1796875,,,
7,"401, 098, 462, 146, 000, 666, 219, 314, 979, 382, 978, 673, 251, 846, 395, 172, 296, 170, 796, 046, 323, 908, 900, 929, 763, 539, 002, 081, 016, 219",-7.0625,,,
8,"401, 098, 000, 146, 000, 962, 278, 426, 867, 442, 043, 746, 251, 415, 314, 353, 224, 804, 385, 458, 983, 574, 045, 132, 328, 043, 250, 200, 266, 095",-6.828125,,,
9,"401, 098, 360, 568, 000, 666, 736, 865, 984, 328, 048, 229, 744, 543, 947, 175, 465, 361, 882, 458, 380, 917, 088, 959, 328, 645, 917, 200, 016, 300",-6.7734375,,,
10,"401, 098, 163, 946, 000, 666, 577, 846, 232, 937, 273, 587, 016, 543, 433, 878, 296, 812, 385, 375, 197, 667, 088, 396, 763, 795, 401, 098, 968, 305",-6.6953125,,,
11,"401, 098, 360, 146, 000, 666, 736, 426, 979, 442, 043, 226, 035, 390, 433, 175, 108, 170, 079, 545, 511, 462, 045, 496, 123, 055, 401, 200, 058, 300",-6.6640625,,,
12,"401, 098, 146, 146, 000, 666, 736, 426, 979, 937, 043, 226, 944, 415, 433, 480, 923, 857, 960, 928, 253, 667, 045, 369, 763, 172, 401, 200, 016, 300",-6.59375,,,
13,"401, 098, 360, 146, 000, 666, 219, 846, 993, 937, 440, 226, 035, 451, 433, 361, 296, 265, 004, 375, 197, 667, 762, 127, 763, 795, 401, 098, 016, 219",-6.484375,,,
14,"401, 098, 360, 146, 000, 666, 736, 913, 262, 894, 043, 375, 251, 895, 433, 175, 051, 170, 004, 328, 511, 667, 045, 250, 763, 172, 401, 098, 120, 305",-6.4296875,,,
15,"401, 098, 360, 146, 000, 666, 736, 913, 262, 894, 043, 375, 251, 895, 433, 175, 051, 170, 004, 328, 511, 667, 045, 250, 763, 172, 401, 098, 120, 305",-6.4296875,,,
16,"401, 098, 146, 146, 000, 666, 736, 426, 232, 937, 043, 226, 035, 451, 278, 918, 923, 110, 960, 328, 197, 667, 045, 496, 763, 200, 401, 098, 016, 300",-6.3828125,,,
17,"401, 098, 360, 146, 000, 666, 736, 118, 867, 442, 043, 587, 276, 355, 761, 205, 296, 170, 953, 375, 197, 667, 045, 132, 763, 172, 401, 098, 016, 305",-6.2578125,,,
18,"401, 098, 360, 146, 000, 666, 736, 118, 867, 442, 043, 587, 276, 355, 761, 205, 296, 170, 953, 375, 197, 667, 045, 132, 763, 172, 401, 098, 016, 305",-6.2578125,,,
19,"401, 098, 360, 146, 000, 666, 736, 118, 867, 442, 043, 587, 276, 355, 761, 205, 296, 170, 953, 375, 197, 667, 045, 132, 763, 172, 401, 098, 016, 305",-6.2578125,,,
20,"401, 098, 181, 146, 000, 666, 736, 531, 158, 442, 043, 007, 230, 355, 660, 767, 296, 237, 004, 375, 197, 667, 045, 129, 177, 966, 401, 098, 310, 305",-6.25,,,
21,"401, 098, 146, 146, 000, 666, 736, 870, 158, 442, 043, 278, 016, 355, 610, 767, 296, 237, 004, 375, 197, 667, 045, 132, 853, 200, 401, 098, 310, 305",-6.2421875,,,
22,"401, 098, 181, 146, 000, 666, 736, 540, 867, 442, 043, 278, 016, 355, 433, 767, 296, 624, 763, 328, 197, 667, 045, 127, 763, 055, 401, 098, 197, 305",-6.15625,,,
23,"401, 098, 146, 146, 000, 114, 736, 531, 867, 937, 043, 007, 230, 355, 660, 767, 296, 237, 880, 375, 197, 667, 045, 507, 924, 966, 401, 098, 310, 305",-6.1328125,,,
24,"401, 098, 146, 121, 000, 114, 736, 531, 867, 442, 043, 278, 035, 355, 684, 225, 296, 237, 880, 375, 197, 667, 045, 132, 924, 200, 401, 098, 310, 305",-6.03125,,,
25,"401, 098, 146, 121, 000, 114, 736, 531, 867, 442, 043, 278, 035, 355, 684, 225, 296, 237, 880, 375, 197, 667, 045, 132, 924, 200, 401, 098, 310, 305",-6.03125,-6.109375,21,
26,"401, 098, 146, 242, 000, 114, 736, 155, 867, 442, 043, 007, 035, 355, 433, 767, 296, 475, 953, 328, 197, 667, 045, 160, 853, 825, 401, 098, 016, 305",-6.0,,,
27,"401, 098, 146, 242, 000, 114, 736, 155, 867, 442, 043, 007, 035, 355, 433, 767, 296, 475, 953, 328, 197, 667, 045, 160, 853, 825, 401, 098, 016, 305",-6.0,,,
28,"401, 098, 181, 121, 000, 114, 736, 540, 867, 442, 043, 375, 999, 355, 429, 483, 296, 778, 960, 328, 197, 667, 045, 132, 763, 055, 401, 098, 004, 305",-5.984375,,,
29,"401, 098, 146, 121, 000, 114, 736, 531, 867, 442, 043, 007, 230, 355, 228, 175, 296, 170, 004, 767, 197, 667, 045, 132, 763, 172, 401, 098, 310, 305",-5.9140625,,,
30,"401, 098, 146, 121, 000, 114, 736, 540, 867, 442, 043, 007, 230, 355, 739, 767, 296, 280, 110, 375, 197, 667, 045, 281, 763, 966, 401, 098, 310, 305",-5.90625,,,
31,"401, 098, 146, 121, 000, 114, 736, 540, 867, 442, 043, 007, 230, 355, 739, 767, 296, 280, 110, 375, 197, 667, 045, 281, 763, 966, 401, 098, 310, 305",-5.90625,,,
32,"401, 098, 146, 121, 000, 114, 736, 540, 867, 442, 043, 007, 230, 355, 739, 767, 296, 280, 110, 375, 197, 667, 045, 281, 763, 966, 401, 098, 310, 305",-5.90625,,,
33,"401, 098, 279, 121, 000, 114, 736, 516, 867, 442, 043, 007, 230, 355, 132, 767, 296, 280, 953, 328, 197, 667, 045, 129, 996, 825, 401, 098, 310, 305",-5.875,,,
34,"401, 098, 181, 121, 000, 114, 736, 525, 867, 442, 043, 007, 230, 355, 958, 247, 296, 857, 953, 375, 197, 667, 045, 132, 763, 825, 401, 098, 197, 305",-5.8515625,,,
35,"401, 098, 279, 121, 000, 114, 736, 155, 867, 442, 043, 007, 230, 355, 132, 767, 296, 280, 934, 375, 197, 667, 045, 146, 763, 825, 401, 098, 310, 305",-5.7734375,,,
36,"401, 098, 279, 121, 000, 114, 736, 155, 867, 442, 043, 007, 230, 355, 132, 767, 296, 280, 934, 375, 197, 667, 045, 146, 763, 825, 401, 098, 310, 305",-5.7734375,,,
37,"401, 098, 279, 121, 000, 114, 736, 155, 867, 442, 043, 007, 230, 355, 132, 767, 296, 280, 934, 375, 197, 667, 045, 146, 763, 825, 401, 098, 310, 305",-5.7734375,,,
38,"401, 098, 186, 121, 000, 114, 736, 525, 867, 442, 043, 007, 282, 355, 132, 767, 296, 280, 960, 375, 197, 667, 045, 007, 763, 825, 401, 098, 197, 305",-5.734375,,,
39,"401, 098, 186, 121, 000, 114, 736, 525, 867, 442, 043, 007, 282, 355, 132, 767, 296, 280, 960, 375, 197, 667, 045, 007, 763, 825, 401, 098, 197, 305",-5.734375,,,
40,"401, 098, 181, 121, 000, 114, 736, 555, 867, 442, 043, 007, 230, 355, 132, 767, 296, 816, 960, 375, 197, 667, 045, 007, 953, 825, 401, 098, 197, 305",-5.7109375,,,
41,"401, 098, 146, 121, 000, 114, 736, 525, 867, 442, 043, 007, 230, 355, 132, 767, 704, 775, 953, 375, 197, 667, 045, 146, 763, 825, 401, 098, 197, 305",-5.703125,,,
42,"401, 098, 181, 121, 000, 114, 736, 555, 867, 442, 043, 007, 007, 377, 132, 767, 296, 816, 953, 375, 197, 667, 045, 196, 953, 825, 401, 098, 197, 305",-5.6875,,,
43,"401, 098, 146, 121, 000, 114, 736, 525, 867, 442, 043, 007, 230, 355, 132, 767, 296, 846, 953, 375, 197, 667, 045, 146, 763, 825, 401, 098, 197, 305",-5.65625,,,
44,"401, 098, 181, 121, 000, 114, 736, 525, 867, 442, 943, 007, 230, 355, 132, 767, 880, 428, 953, 019, 197, 667, 727, 007, 763, 825, 401, 098, 197, 305",-5.6328125,,,
45,"401, 098, 181, 121, 000, 114, 736, 525, 867, 442, 943, 007, 230, 355, 132, 767, 880, 428, 953, 019, 197, 667, 727, 007, 763, 825, 401, 098, 197, 305",-5.6328125,,,
46,"401, 098, 279, 121, 000, 114, 736, 525, 867, 442, 043, 007, 230, 359, 132, 767, 473, 125, 953, 375, 197, 667, 727, 007, 763, 825, 401, 098, 197, 305",-5.578125,,,
47,"401, 098, 279, 121, 000, 114, 736, 525, 867, 442, 043, 007, 230, 359, 132, 767, 473, 125, 953, 375, 197, 667, 727, 007, 763, 825, 401, 098, 197, 305",-5.578125,,,
48,"401, 098, 181, 121, 000, 114, 736, 555, 867, 442, 043, 007, 230, 377, 132, 767, 516, 125, 953, 375, 197, 667, 727, 007, 763, 825, 401, 098, 197, 305",-5.5390625,,,
49,"401, 098, 279, 121, 000, 114, 736, 525, 867, 442, 043, 007, 230, 377, 132, 767, 763, 699, 953, 375, 197, 667, 727, 007, 763, 825, 401, 098, 197, 305",-5.5234375,,,
50,"401, 098, 279, 121, 000, 114, 736, 525, 867, 442, 043, 007, 230, 377, 132, 767, 763, 699, 953, 375, 197, 667, 727, 007, 763, 825, 401, 098, 197, 305",-5.5234375,-5.6015625,21,
51,"401, 098, 181, 121, 000, 114, 736, 555, 867, 442, 934, 007, 230, 377, 132, 767, 473, 125, 953, 375, 197, 667, 727, 007, 763, 825, 401, 098, 197, 305",-5.4765625,,,
52,"401, 098, 181, 121, 000, 114, 736, 555, 867, 442, 857, 007, 230, 377, 132, 767, 116, 428, 953, 375, 197, 667, 727, 007, 763, 825, 401, 098, 197, 305",-5.421875,,,
53,"401, 098, 181, 121, 000, 114, 736, 555, 867, 442, 857, 007, 230, 377, 132, 767, 116, 428, 953, 375, 197, 667, 727, 007, 763, 825, 401, 098, 197, 305",-5.421875,,,
54,"401, 098, 150, 121, 000, 114, 736, 525, 867, 428, 043, 007, 230, 377, 132, 767, 296, 788, 953, 375, 143, 667, 007, 007, 763, 825, 401, 098, 197, 305",-5.296875,,,
55,"401, 098, 150, 121, 000, 114, 736, 525, 867, 428, 043, 007, 230, 377, 132, 767, 296, 788, 953, 375, 143, 667, 007, 007, 763, 825, 401, 098, 197, 305",-5.296875,,,
56,"401, 098, 150, 121, 000, 114, 736, 525, 867, 428, 043, 007, 230, 377, 132, 767, 296, 788, 953, 375, 143, 667, 007, 007, 763, 825, 401, 098, 197, 305",-5.296875,,,
57,"401, 098, 150, 121, 000, 114, 736, 525, 867, 428, 043, 007, 230, 377, 132, 767, 296, 788, 953, 375, 143, 667, 007, 007, 763, 825, 401, 098, 197, 305",-5.296875,,,
58,"401, 098, 181, 121, 000, 114, 736, 525, 867, 428, 769, 007, 230, 377, 132, 767, 330, 965, 955, 375, 197, 667, 007, 007, 763, 825, 401, 098, 197, 305",-5.25,,,
59,"401, 098, 186, 121, 000, 114, 736, 555, 867, 428, 857, 007, 230, 377, 132, 767, 477, 816, 491, 375, 197, 667, 007, 007, 763, 825, 401, 098, 197, 305",-5.2421875,,,
60,"401, 098, 186, 121, 000, 114, 736, 555, 867, 428, 857, 007, 230, 377, 132, 767, 571, 816, 953, 375, 197, 687, 007, 007, 763, 825, 401, 098, 197, 305",-5.1875,,,
61,"401, 098, 894, 121, 000, 114, 736, 555, 867, 428, 934, 007, 230, 377, 132, 767, 473, 973, 953, 375, 197, 667, 727, 007, 007, 825, 401, 098, 197, 305",-5.1015625,,,
62,"401, 098, 894, 121, 000, 114, 736, 555, 867, 428, 934, 007, 230, 377, 132, 767, 473, 973, 953, 375, 197, 667, 727, 007, 007, 825, 401, 098, 197, 305",-5.1015625,,,
63,"401, 098, 894, 121, 000, 114, 736, 555, 867, 428, 934, 007, 230, 377, 132, 767, 473, 973, 953, 375, 197, 667, 727, 007, 007, 825, 401, 098, 197, 305",-5.1015625,,,
64,"401, 098, 894, 121, 000, 114, 736, 555, 867, 428, 934, 007, 230, 377, 132, 767, 473, 973, 953, 375, 197, 667, 727, 007, 007, 825, 401, 098, 197, 305",-5.1015625,,,
65,"401, 098, 894, 121, 000, 114, 736, 555, 867, 428, 934, 007, 230, 377, 132, 767, 473, 973, 953, 375, 197, 667, 727, 007, 007, 825, 401, 098, 197, 305",-5.1015625,,,
66,"401, 098, 894, 121, 000, 114, 736, 555, 867, 428, 934, 007, 230, 377, 132, 767, 473, 973, 953, 375, 197, 667, 727, 007, 007, 825, 401, 098, 197, 305",-5.1015625,,,
67,"401, 098, 894, 121, 000, 114, 736, 555, 867, 428, 934, 007, 230, 377, 132, 767, 473, 973, 953, 375, 197, 667, 727, 007, 007, 825, 401, 098, 197, 305",-5.1015625,,,
68,"401, 098, 894, 121, 000, 114, 736, 555, 867, 428, 934, 007, 230, 377, 132, 767, 473, 973, 953, 375, 197, 667, 727, 007, 007, 825, 401, 098, 197, 305",-5.1015625,,,
69,"401, 098, 894, 121, 000, 114, 736, 555, 867, 428, 934, 007, 230, 377, 132, 767, 473, 973, 953, 375, 197, 667, 727, 007, 007, 825, 401, 098, 197, 305",-5.1015625,,,
70,"401, 098, 186, 121, 000, 114, 736, 555, 867, 428, 934, 007, 230, 377, 132, 767, 740, 370, 953, 375, 197, 263, 727, 007, 007, 825, 401, 098, 197, 305",-5.09375,,,
71,"401, 098, 186, 121, 000, 114, 736, 555, 867, 428, 857, 007, 230, 377, 132, 767, 473, 428, 953, 375, 439, 233, 007, 007, 763, 825, 401, 098, 092, 305",-5.0703125,,,
72,"401, 098, 186, 121, 000, 114, 736, 555, 867, 428, 857, 007, 230, 377, 132, 767, 473, 428, 953, 375, 439, 233, 007, 007, 763, 825, 401, 098, 092, 305",-5.0703125,,,
73,"401, 098, 186, 121, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 330, 367, 953, 375, 197, 687, 007, 007, 763, 825, 401, 098, 092, 305",-5.0234375,,,
74,"401, 098, 186, 121, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 330, 367, 953, 375, 197, 687, 007, 007, 763, 825, 401, 098, 092, 305",-5.0234375,,,
75,"401, 098, 150, 121, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 330, 370, 810, 375, 197, 667, 007, 007, 763, 825, 401, 098, 092, 305",-5.015625,-5.1171875,18,
76,"401, 098, 150, 121, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 330, 370, 810, 375, 197, 667, 007, 007, 763, 825, 401, 098, 092, 305",-5.015625,,,
77,"401, 098, 150, 121, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 330, 370, 810, 375, 197, 667, 007, 007, 763, 825, 401, 098, 092, 305",-5.015625,,,
78,"401, 098, 894, 121, 000, 114, 736, 555, 867, 428, 778, 007, 230, 377, 132, 767, 473, 973, 953, 375, 197, 667, 727, 007, 007, 825, 401, 098, 092, 305",-5.0078125,,,
79,"401, 098, 186, 121, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 330, 370, 953, 519, 197, 137, 007, 007, 763, 825, 401, 098, 092, 305",-4.9921875,,,
80,"401, 098, 186, 121, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 262, 370, 953, 375, 197, 137, 007, 007, 763, 825, 401, 098, 092, 305",-4.96875,,,
81,"401, 098, 181, 268, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 330, 370, 953, 375, 345, 137, 007, 007, 763, 825, 401, 098, 092, 305",-4.953125,,,
82,"401, 098, 181, 268, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 330, 370, 953, 375, 345, 137, 007, 007, 763, 825, 401, 098, 092, 305",-4.953125,,,
83,"401, 098, 186, 220, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 377, 370, 953, 375, 197, 457, 007, 007, 763, 825, 401, 098, 092, 305",-4.921875,,,
84,"401, 098, 186, 220, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 377, 370, 953, 375, 197, 457, 007, 007, 763, 825, 401, 098, 092, 305",-4.921875,,,
85,"401, 098, 186, 220, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 377, 370, 953, 375, 197, 457, 007, 007, 763, 825, 401, 098, 092, 305",-4.921875,,,
86,"401, 098, 186, 220, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 377, 370, 953, 375, 197, 457, 007, 007, 763, 825, 401, 098, 092, 305",-4.921875,,,
87,"401, 098, 186, 220, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 377, 370, 953, 375, 197, 457, 007, 007, 763, 825, 401, 098, 092, 305",-4.921875,,,
88,"401, 098, 150, 279, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 667, 007, 007, 763, 825, 401, 098, 092, 305",-4.8984375,,,
89,"401, 098, 186, 121, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 846, 370, 953, 375, 197, 137, 007, 007, 763, 825, 401, 098, 092, 305",-4.890625,,,
90,"401, 098, 186, 121, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 846, 370, 953, 375, 197, 137, 007, 007, 763, 825, 401, 098, 092, 305",-4.890625,,,
91,"401, 098, 150, 220, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 377, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8828125,,,
92,"401, 098, 150, 220, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 377, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8828125,,,
93,"401, 098, 150, 220, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 377, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8828125,,,
94,"401, 098, 150, 220, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 377, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8828125,,,
95,"401, 098, 150, 220, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 377, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8828125,,,
96,"401, 098, 150, 220, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 377, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8828125,,,
97,"401, 098, 150, 220, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 377, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8828125,,,
98,"401, 098, 150, 220, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 377, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8828125,,,
99,"401, 098, 150, 220, 000, 114, 736, 525, 867, 428, 857, 007, 230, 944, 132, 767, 428, 370, 953, 375, 197, 667, 007, 007, 763, 825, 401, 098, 092, 305",-4.875,,,
100,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,-4.94140625,15,
101,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
102,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
103,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
104,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
105,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
106,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
107,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
108,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
109,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
110,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
111,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
112,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
113,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
114,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
115,"401, 098, 150, 287, 000, 114, 736, 525, 867, 428, 857, 007, 230, 377, 132, 767, 767, 370, 953, 375, 197, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.8046875,,,
116,"401, 098, 150, 112, 000, 114, 736, 525, 867, 428, 007, 007, 230, 649, 132, 767, 767, 370, 953, 738, 435, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.7890625,,,
117,"401, 098, 150, 112, 000, 114, 736, 525, 867, 428, 007, 007, 230, 649, 132, 767, 767, 370, 953, 738, 435, 135, 007, 007, 763, 825, 401, 098, 092, 305",-4.7890625,,,
118,"401, 098, 150, 112, 000, 114, 736, 525, 867, 428, 007, 007, 230, 624, 132, 767, 767, 370, 953, 375, 197, 137, 007, 007, 763, 825, 401, 098, 092, 305",-4.78125,,,
119,"401, 098, 150, 112, 000, 114, 736, 525, 867, 428, 007, 007, 230, 944, 132, 767, 767, 370, 953, 375, 197, 663, 007, 007, 763, 825, 401, 098, 092, 305",-4.6953125,,,
120,"401, 098, 150, 112, 000, 114, 736, 525, 867, 428, 007, 007, 230, 944, 132, 767, 767, 370, 953, 375, 197, 663, 007, 007, 763, 825, 401, 098, 092, 305",-4.6953125,,,
121,"401, 098, 150, 112, 000, 114, 736, 525, 867, 428, 007, 007, 230, 944, 132, 767, 767, 370, 953, 375, 197, 663, 007, 007, 763, 825, 401, 098, 092, 305",-4.6953125,,,
