generation,system_prompt,objective_score,target_logprob,target_rank,answer
0,"125, 098, 838, 096, 074, 962, 123, 500, 255, 190, 285, 107, 858, 994, 615, 447, 160, 988, 380, 705, 330, 461, 128, 094, 002, 501, 121, 563, 758, 917",-8.4296875,-8.4453125,46,
1,"125, 098, 428, 822, 074, 962, 123, 500, 034, 692, 330, 606, 348, 994, 615, 424, 631, 135, 568, 705, 083, 980, 128, 094, 002, 501, 781, 000, 092, 917",-8.109375,,,
2,"125, 098, 680, 310, 074, 456, 180, 931, 034, 239, 420, 601, 348, 994, 536, 171, 165, 135, 568, 405, 759, 980, 226, 427, 775, 501, 781, 000, 092, 917",-8.0,,,
3,"432, 000, 680, 664, 074, 962, 043, 931, 034, 271, 751, 134, 348, 969, 615, 327, 631, 877, 866, 705, 083, 534, 322, 427, 787, 857, 198, 198, 092, 898",-7.75,,,
4,"145, 000, 872, 098, 756, 036, 870, 055, 267, 684, 486, 107, 752, 841, 467, 330, 574, 135, 792, 834, 292, 270, 015, 515, 122, 006, 272, 903, 145, 101",-7.46875,,,
5,"432, 000, 872, 492, 756, 962, 870, 308, 007, 684, 486, 606, 752, 841, 467, 424, 001, 135, 792, 705, 292, 947, 015, 515, 122, 006, 272, 000, 092, 101",-7.375,,,
6,"145, 098, 680, 889, 060, 036, 870, 500, 895, 996, 680, 307, 495, 590, 858, 088, 720, 345, 762, 985, 325, 980, 186, 870, 002, 725, 198, 000, 145, 093",-7.1328125,,,
7,"145, 000, 767, 466, 999, 543, 834, 880, 090, 009, 285, 229, 745, 994, 615, 004, 145, 804, 129, 285, 325, 878, 322, 515, 968, 898, 250, 997, 092, 101",-7.0625,,,
8,"145, 000, 767, 098, 756, 036, 870, 320, 891, 684, 486, 107, 198, 881, 467, 250, 630, 568, 355, 684, 545, 395, 015, 878, 046, 370, 198, 000, 092, 101",-6.8046875,,,
9,"145, 000, 666, 098, 756, 036, 432, 914, 007, 009, 486, 580, 155, 994, 448, 004, 062, 224, 313, 684, 325, 270, 472, 094, 122, 001, 198, 000, 092, 101",-6.6328125,,,
10,"145, 000, 666, 466, 867, 050, 432, 568, 255, 009, 486, 430, 344, 428, 250, 573, 631, 224, 866, 684, 325, 270, 322, 025, 122, 205, 198, 000, 092, 101",-6.5625,,,
11,"145, 000, 666, 098, 756, 036, 870, 320, 015, 684, 486, 580, 496, 496, 786, 330, 062, 135, 380, 684, 325, 270, 341, 592, 122, 416, 258, 000, 092, 101",-6.4765625,,,
