rank,system_prompt,objective_score
1,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 962, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.140625
2,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 984, 225, 897, 007, 256, 329, 370, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.140625
3,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 807, 225, 897, 007, 256, 329, 370, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1484375
4,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 984, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1484375
5,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 504, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.15625
6,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 812, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.15625
7,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 715, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.15625
8,"135, 200, 000, 000, 000, 120, 538, 000, 990, 736, 000, 370, 098, 853, 807, 225, 897, 007, 256, 329, 370, 580, 197, 943, 763, 867, 192, 135, 135, 090",-4.1640625
9,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 807, 225, 897, 007, 256, 329, 370, 580, 197, 953, 825, 867, 192, 135, 135, 090",-4.1640625
10,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 102, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1640625
11,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 993, 763, 867, 192, 135, 135, 090",-4.1640625
12,"135, 200, 000, 000, 000, 120, 538, 000, 963, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1640625
13,"135, 200, 000, 000, 000, 120, 538, 000, 990, 736, 000, 370, 098, 853, 807, 225, 897, 007, 256, 329, 604, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1640625
14,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 880, 763, 867, 192, 135, 135, 090",-4.1640625
15,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 888, 197, 953, 763, 867, 192, 135, 135, 090",-4.1640625
16,"135, 200, 000, 000, 000, 120, 538, 000, 990, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 984, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1640625
17,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 057, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1640625
18,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 470, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1640625
19,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 875, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.171875
20,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 303, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.171875
21,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 993, 098, 853, 807, 225, 897, 007, 256, 329, 370, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.171875
22,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 973, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 943, 763, 867, 192, 135, 135, 090",-4.1796875
23,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 769, 763, 867, 192, 135, 135, 090",-4.1796875
24,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 912, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1796875
25,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 953, 590, 867, 192, 135, 135, 090",-4.1796875
26,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 458, 225, 897, 007, 256, 329, 370, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1796875
27,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 953, 534, 867, 192, 135, 135, 090",-4.1796875
28,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 823, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1796875
29,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 825, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1796875
30,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 786, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1796875
31,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 170, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1796875
32,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 917, 225, 897, 007, 256, 329, 370, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1796875
33,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 872, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1796875
34,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 943, 763, 867, 192, 135, 135, 090",-4.1875
35,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 857, 988, 225, 897, 007, 256, 329, 370, 580, 197, 973, 763, 867, 192, 135, 135, 090",-4.1875
36,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 756, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1875
37,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 973, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 915, 763, 867, 192, 135, 135, 090",-4.1875
38,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 518, 580, 197, 953, 825, 867, 192, 135, 135, 090",-4.1875
39,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 375, 197, 953, 763, 867, 192, 135, 135, 090",-4.1875
40,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 387, 580, 197, 880, 763, 867, 192, 135, 135, 090",-4.1875
41,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 531, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1875
42,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 953, 985, 867, 192, 135, 135, 090",-4.1875
43,"135, 200, 000, 000, 000, 120, 538, 000, 073, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 864, 197, 953, 763, 867, 192, 135, 135, 090",-4.1875
44,"135, 200, 000, 000, 000, 120, 538, 000, 073, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 480, 763, 867, 192, 135, 135, 090",-4.1875
45,"135, 200, 000, 000, 000, 120, 538, 000, 073, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 993, 003, 763, 867, 192, 135, 135, 090",-4.1953125
46,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 870, 807, 225, 897, 007, 256, 329, 370, 580, 197, 953, 763, 867, 192, 135, 135, 090",-4.1953125
47,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 960, 763, 867, 192, 135, 135, 090",-4.1953125
48,"135, 200, 000, 000, 000, 120, 538, 000, 866, 736, 000, 370, 098, 853, 988, 225, 897, 007, 256, 329, 370, 580, 197, 943, 763, 880, 192, 135, 135, 090",-4.1953125
