generation,system_prompt,objective_score,target_logprob,target_rank,answer
0,"175, 098, 244, 245, 104, 723, 278, 438, 562, 953, 712, 060, 610, 614, 811, 955, 349, 036, 770, 843, 027, 246, 300, 711, 162, 360, 101, 488, 580, 509",-8.8671875,-8.875,54,
1,"175, 098, 533, 162, 794, 723, 108, 541, 562, 878, 712, 060, 593, 614, 811, 164, 349, 036, 797, 044, 027, 129, 845, 711, 162, 360, 101, 649, 214, 201",-8.390625,,,
2,"250, 098, 285, 000, 959, 723, 987, 538, 016, 194, 083, 210, 161, 052, 552, 955, 349, 246, 487, 843, 344, 923, 299, 385, 162, 797, 570, 488, 936, 509",-8.1796875,,,
3,"278, 098, 522, 162, 794, 363, 141, 000, 968, 953, 391, 092, 000, 453, 463, 218, 075, 036, 459, 529, 029, 403, 700, 711, 904, 885, 196, 396, 924, 201",-7.84375,,,
4,"401, 098, 285, 434, 954, 177, 731, 320, 984, 007, 599, 946, 161, 784, 401, 255, 578, 246, 004, 515, 765, 265, 424, 487, 162, 007, 119, 113, 741, 727",-7.59375,,,
5,"401, 098, 285, 000, 794, 723, 038, 538, 067, 947, 228, 060, 230, 052, 504, 418, 349, 201, 205, 370, 344, 503, 300, 067, 993, 360, 570, 206, 693, 076",-7.4375,,,
6,"401, 098, 098, 326, 000, 177, 769, 543, 231, 108, 762, 027, 107, 453, 748, 255, 966, 688, 883, 370, 989, 778, 400, 067, 246, 360, 054, 420, 924, 201",-7.203125,,,
7,"401, 098, 285, 000, 446, 736, 870, 165, 562, 007, 586, 060, 230, 614, 425, 307, 948, 246, 709, 848, 765, 295, 521, 205, 955, 066, 098, 206, 936, 201",-7.0234375,,,
8,"401, 098, 285, 000, 000, 736, 769, 121, 562, 007, 197, 946, 230, 614, 425, 418, 948, 036, 301, 683, 765, 846, 801, 463, 092, 885, 098, 396, 936, 201",-6.921875,,,
9,"401, 098, 285, 000, 000, 897, 769, 000, 400, 953, 824, 887, 337, 807, 943, 445, 064, 747, 838, 515, 344, 680, 753, 487, 126, 007, 101, 525, 045, 201",-6.7890625,,,
10,"401, 098, 285, 000, 000, 000, 769, 320, 016, 818, 383, 776, 161, 728, 512, 900, 349, 246, 205, 848, 344, 969, 428, 205, 025, 004, 098, 206, 225, 201",-6.6171875,,,
11,"401, 098, 285, 000, 000, 000, 769, 320, 016, 818, 383, 776, 161, 728, 512, 900, 349, 246, 205, 848, 344, 969, 428, 205, 025, 004, 098, 206, 225, 201",-6.6171875,,,
12,"401, 098, 285, 000, 000, 261, 428, 000, 757, 986, 265, 946, 270, 121, 943, 125, 358, 201, 932, 105, 221, 960, 930, 830, 045, 007, 525, 550, 924, 201",-6.5234375,,,
13,"401, 098, 285, 000, 000, 936, 769, 000, 231, 953, 756, 450, 043, 993, 401, 496, 004, 439, 571, 848, 221, 246, 753, 067, 025, 007, 098, 206, 045, 201",-6.515625,,,
14,"401, 098, 285, 328, 000, 000, 769, 000, 495, 953, 305, 142, 000, 121, 428, 218, 057, 171, 278, 105, 349, 739, 250, 205, 375, 007, 098, 550, 270, 201",-6.4296875,,,
15,"401, 098, 285, 326, 000, 000, 769, 783, 435, 007, 135, 887, 000, 150, 401, 058, 154, 246, 883, 370, 313, 175, 300, 273, 098, 007, 325, 525, 045, 201",-6.3671875,,,
16,"401, 098, 285, 326, 000, 000, 769, 543, 412, 953, 007, 181, 230, 013, 428, 962, 319, 884, 004, 370, 989, 175, 753, 135, 993, 928, 098, 525, 045, 201",-6.25,,,
17,"401, 098, 285, 326, 000, 000, 769, 543, 412, 953, 007, 181, 230, 013, 428, 962, 319, 884, 004, 370, 989, 175, 753, 135, 993, 928, 098, 525, 045, 201",-6.25,,,
18,"401, 098, 285, 328, 000, 000, 769, 428, 225, 953, 135, 946, 000, 958, 943, 218, 349, 157, 010, 458, 782, 969, 753, 916, 666, 007, 098, 988, 225, 201",-6.171875,,,
19,"401, 098, 285, 328, 000, 000, 769, 000, 181, 953, 228, 718, 000, 996, 943, 218, 154, 310, 003, 370, 233, 778, 353, 135, 025, 376, 098, 525, 045, 201",-6.09375,,,
20,"401, 098, 285, 328, 000, 000, 769, 000, 181, 953, 228, 718, 000, 996, 943, 218, 154, 310, 003, 370, 233, 778, 353, 135, 025, 376, 098, 525, 045, 201",-6.09375,,,
21,"401, 098, 285, 328, 000, 000, 769, 000, 181, 953, 228, 718, 000, 815, 943, 218, 154, 310, 003, 370, 233, 778, 353, 135, 025, 007, 098, 525, 045, 201",-6.0546875,,,
22,"401, 098, 285, 326, 000, 000, 769, 428, 412, 953, 007, 181, 230, 993, 667, 943, 454, 104, 004, 370, 483, 960, 035, 135, 025, 007, 098, 500, 225, 201",-5.9609375,,,
23,"401, 098, 285, 326, 000, 000, 769, 428, 412, 953, 007, 181, 230, 993, 667, 943, 454, 104, 004, 370, 483, 960, 035, 135, 025, 007, 098, 500, 225, 201",-5.9609375,,,
24,"401, 098, 285, 000, 000, 000, 870, 428, 319, 500, 135, 846, 000, 958, 532, 019, 426, 201, 010, 370, 483, 328, 140, 135, 045, 007, 098, 988, 225, 201",-5.8828125,,,
25,"401, 098, 285, 000, 000, 000, 870, 428, 319, 500, 135, 846, 000, 958, 532, 019, 426, 201, 010, 370, 483, 328, 140, 135, 045, 007, 098, 988, 225, 201",-5.8828125,-5.9453125,20,
26,"401, 098, 285, 326, 000, 000, 870, 428, 319, 007, 007, 846, 230, 993, 401, 218, 426, 201, 004, 370, 782, 960, 773, 135, 045, 007, 098, 525, 225, 201",-5.796875,,,
27,"401, 098, 285, 468, 000, 000, 870, 428, 229, 007, 007, 718, 000, 958, 943, 218, 358, 201, 004, 370, 344, 778, 753, 521, 993, 007, 098, 500, 225, 201",-5.7421875,,,
28,"401, 098, 285, 328, 000, 000, 870, 428, 319, 007, 007, 718, 230, 993, 943, 943, 426, 201, 004, 370, 483, 960, 140, 135, 045, 007, 098, 988, 768, 201",-5.734375,,,
