generation,system_prompt,objective_score,target_logprob,target_rank,answer
0,"500, 138, 593, 564, 788, 106, 328, 040, 416, 074, 389, 886, 807, 150, 848, 128, 349, 117, 629, 601",-8.3125,-8.25,43,Dog
1,"500, 138, 593, 564, 788, 106, 328, 040, 416, 074, 389, 886, 807, 150, 848, 128, 349, 117, 629, 601",-8.3125,-8.25,43,Dog
2,"500, 138, 593, 205, 052, 720, 522, 629, 762, 074, 432, 886, 218, 336, 848, 098, 557, 168, 629, 727",-8.125,-8.0625,40,Dog
3,"500, 753, 320, 044, 281, 720, 328, 629, 416, 074, 432, 886, 807, 506, 427, 455, 012, 117, 074, 727",-7.9375,-8.0625,42,Dog
4,"500, 138, 593, 564, 878, 720, 522, 629, 917, 074, 432, 886, 218, 150, 949, 098, 557, 117, 629, 727",-7.8125,-7.90625,39,Dog
5,"500, 400, 320, 002, 760, 720, 522, 629, 416, 074, 432, 886, 278, 335, 092, 098, 243, 512, 996, 727",-7.75,-7.9375,39,Dog
6,"500, 934, 166, 857, 916, 120, 627, 794, 935, 074, 227, 002, 285, 996, 460, 205, 674, 422, 705, 306",-7.6875,-7.9375,40,Dog
7,"500, 400, 320, 002, 760, 720, 522, 629, 173, 074, 140, 886, 278, 996, 848, 098, 349, 117, 996, 727",-7.625,-7.71875,34,Dog
8,"500, 400, 320, 002, 760, 720, 522, 629, 173, 074, 140, 886, 278, 996, 848, 098, 349, 117, 996, 727",-7.625,-7.71875,34,Dog
9,"500, 400, 320, 002, 916, 598, 970, 536, 917, 074, 428, 322, 218, 150, 092, 058, 012, 536, 705, 727",-7.3125,-7.59375,33,Dog
10,"500, 400, 320, 002, 916, 598, 970, 536, 917, 074, 428, 322, 218, 150, 092, 058, 012, 536, 705, 727",-7.3125,-7.59375,33,Dog
11,"500, 934, 320, 002, 090, 720, 427, 000, 173, 074, 140, 886, 278, 996, 092, 098, 393, 512, 996, 727",-7.1875,-7.4375,29,Dog
12,"500, 934, 320, 002, 090, 720, 427, 000, 173, 074, 140, 886, 278, 996, 092, 098, 393, 512, 996, 727",-7.1875,-7.4375,29,Dog
13,"500, 934, 320, 002, 090, 720, 427, 000, 416, 074, 140, 886, 278, 996, 092, 726, 848, 055, 074, 367",-7.0,-7.0625,26,Dog
14,"500, 934, 320, 002, 090, 720, 427, 000, 416, 074, 140, 886, 278, 996, 092, 726, 848, 055, 074, 367",-7.0,-7.0625,26,Dog
15,"500, 934, 320, 002, 090, 720, 427, 000, 416, 074, 140, 886, 278, 996, 092, 726, 848, 055, 074, 367",-7.0,-7.0625,26,Dog
16,"500, 934, 320, 002, 090, 720, 427, 000, 416, 074, 140, 886, 278, 996, 092, 726, 848, 055, 074, 367",-7.0,-7.0625,26,Dog
17,"500, 934, 320, 002, 090, 720, 427, 000, 416, 074, 140, 886, 278, 996, 092, 726, 848, 055, 074, 367",-7.0,-7.0625,26,Dog
18,"500, 934, 320, 002, 090, 720, 427, 000, 416, 074, 140, 886, 278, 996, 092, 726, 848, 055, 074, 367",-7.0,-7.0625,26,Dog
19,"500, 934, 320, 002, 090, 720, 427, 000, 416, 074, 140, 886, 278, 996, 092, 726, 848, 055, 074, 367",-7.0,-7.0625,26,Dog
20,"500, 942, 320, 002, 174, 380, 427, 000, 416, 478, 996, 886, 278, 354, 848, 098, 243, 899, 705, 367",-6.9375,-6.96875,26,Dog
21,"500, 942, 320, 002, 174, 380, 427, 000, 416, 478, 996, 886, 278, 354, 848, 098, 243, 899, 705, 367",-6.9375,-6.96875,26,Dog
22,"500, 942, 320, 002, 174, 380, 427, 000, 416, 478, 996, 886, 278, 354, 848, 098, 243, 899, 705, 367",-6.9375,-6.96875,26,Dog
23,"500, 942, 320, 002, 174, 380, 427, 000, 416, 478, 996, 886, 278, 354, 848, 098, 243, 899, 705, 367",-6.9375,-6.96875,26,Dog
24,"500, 942, 320, 002, 694, 720, 427, 000, 416, 478, 996, 392, 278, 996, 092, 098, 378, 055, 482, 367",-6.875,-7.0625,26,Dog
25,"500, 942, 320, 002, 694, 720, 427, 000, 416, 478, 996, 392, 278, 996, 092, 098, 378, 055, 482, 367",-6.875,-7.0625,26,Dog
26,"500, 942, 320, 002, 108, 380, 427, 000, 416, 478, 996, 886, 278, 354, 092, 098, 848, 899, 705, 367",-6.8125,-6.875,25,Dog
27,"500, 942, 320, 002, 108, 380, 427, 000, 416, 478, 996, 886, 278, 354, 092, 098, 848, 899, 705, 367",-6.8125,-6.875,25,Dog
28,"500, 942, 320, 002, 108, 380, 427, 000, 416, 478, 996, 886, 278, 354, 092, 098, 848, 899, 705, 367",-6.8125,-6.875,25,Dog
29,"500, 942, 320, 002, 358, 720, 427, 000, 416, 074, 823, 658, 835, 996, 092, 098, 243, 899, 075, 304",-6.75,-6.84375,23,Dog
30,"500, 942, 320, 002, 358, 720, 427, 000, 416, 074, 823, 658, 835, 996, 092, 098, 243, 899, 075, 304",-6.75,-6.84375,23,Dog
31,"500, 942, 320, 002, 358, 720, 427, 000, 416, 074, 823, 658, 835, 996, 092, 098, 243, 899, 075, 304",-6.75,-6.84375,23,Dog
32,"500, 942, 320, 002, 358, 720, 427, 000, 416, 074, 823, 658, 835, 996, 092, 098, 243, 899, 075, 304",-6.75,-6.84375,23,Dog
33,"500, 942, 320, 002, 358, 720, 427, 000, 416, 074, 823, 658, 835, 996, 092, 098, 243, 899, 075, 304",-6.75,-6.84375,23,Dog
34,"500, 942, 320, 002, 358, 720, 427, 000, 416, 074, 823, 658, 835, 996, 092, 098, 243, 899, 075, 304",-6.75,-6.84375,23,Dog
35,"500, 942, 320, 002, 358, 720, 427, 000, 416, 074, 823, 658, 835, 996, 092, 098, 243, 899, 075, 304",-6.75,-6.84375,23,Dog
36,"500, 942, 320, 002, 358, 684, 427, 000, 416, 074, 996, 658, 835, 996, 092, 098, 243, 899, 653, 304",-6.6875,-7.0,25,Dog
37,"500, 942, 320, 002, 358, 684, 427, 000, 416, 074, 996, 658, 835, 996, 092, 098, 243, 899, 653, 304",-6.6875,-7.0,25,Dog
38,"500, 942, 320, 002, 358, 684, 427, 000, 416, 074, 996, 658, 835, 996, 092, 098, 243, 899, 653, 304",-6.6875,-7.0,25,Dog
39,"500, 942, 320, 002, 358, 684, 427, 000, 416, 074, 996, 658, 835, 996, 092, 098, 243, 899, 653, 304",-6.6875,-7.0,25,Dog
40,"500, 942, 320, 002, 358, 684, 427, 000, 416, 074, 996, 658, 835, 996, 092, 098, 243, 899, 653, 304",-6.6875,-7.0,25,Dog
