generation,system_prompt,objective_score,target_logprob,target_rank,answer
0,"876, 386, 412, 572, 480, 062, 285, 131, 786, 190, 368, 348, 451, 485, 147, 004, 431, 659, 101, 923, 562, 154, 870, 104, 160, 896, 379, 605, 201, 174",-9.0234375,-9.0390625,68,
1,"180, 142, 196, 943, 050, 098, 499, 382, 990, 695, 560, 946, 630, 021, 931, 011, 492, 356, 530, 347, 041, 150, 967, 679, 013, 032, 075, 266, 308, 211",-8.46875,,,
2,"180, 150, 626, 943, 050, 098, 365, 382, 394, 425, 560, 946, 630, 327, 568, 865, 976, 356, 735, 706, 266, 150, 465, 631, 446, 032, 646, 266, 287, 211",-8.265625,,,
3,"876, 150, 412, 390, 147, 939, 012, 130, 573, 084, 368, 218, 986, 140, 806, 331, 857, 487, 312, 312, 727, 406, 311, 422, 767, 667, 646, 406, 876, 101",-8.1015625,,,
4,"876, 870, 412, 264, 147, 058, 012, 130, 573, 949, 954, 218, 977, 829, 806, 331, 684, 761, 413, 312, 727, 068, 217, 856, 767, 815, 184, 111, 876, 101",-7.71875,,,
5,"876, 150, 012, 439, 680, 516, 013, 470, 094, 084, 383, 953, 451, 844, 596, 004, 857, 659, 454, 010, 909, 050, 494, 104, 767, 896, 706, 067, 876, 211",-7.6796875,,,
6,"876, 150, 150, 010, 680, 421, 917, 131, 094, 084, 383, 566, 451, 514, 596, 004, 917, 659, 101, 153, 909, 050, 494, 104, 033, 896, 706, 067, 876, 211",-7.5,,,
7,"876, 870, 132, 264, 147, 058, 012, 130, 573, 031, 146, 218, 451, 020, 387, 331, 669, 761, 003, 604, 727, 417, 217, 716, 767, 172, 184, 165, 876, 101",-7.375,,,
8,"876, 870, 012, 960, 147, 435, 285, 470, 984, 084, 368, 953, 457, 428, 147, 004, 299, 064, 562, 010, 727, 003, 217, 104, 026, 106, 988, 067, 876, 101",-7.265625,,,
9,"876, 870, 146, 043, 147, 435, 012, 130, 573, 949, 203, 805, 463, 020, 326, 004, 228, 736, 997, 010, 562, 249, 217, 631, 026, 106, 075, 006, 876, 101",-6.984375,,,
10,"876, 870, 146, 043, 147, 435, 012, 130, 573, 949, 203, 805, 463, 020, 326, 004, 228, 736, 997, 010, 562, 249, 217, 631, 026, 106, 075, 006, 876, 101",-6.984375,,,
